"
  
";;;;;;;;;;;;;;;;;;;;;
"
SERIE 300 : ELECTRICITE
  
";;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
NO ORDRE;DESIGNATION;UNITE;QUANTITE;PRIX UNITAIRE HT;PRIX TOTAL HT;FOURNISSEUR;;;;;;;;;;;;;;;
SERIE 300 : ELECTRICITE;;;;;;;;;;;;;;;;;;;;;
1;INTER DIFF DX3 2P 230V 30mA TYPE AC DEP BAS;U;1; 	37 500 ; 	37 500 ;BRICORAMA;;;;;;;;;;;;;;;
2;NTER DIFF DX3 2P 230V 25mA TYPE AC DEP BAS;U;1; 	33 500 ; 	33 500 ;;;;;;;;;;;;;;;;
3;DPN LEGRAND 25A A 4,5KA - R 20 MAX;U;1; 	6 900 ; 	6 900 ;;;;;;;;;;;;;;;;
4;REGLETTE LED 60 CM LIPER;U;1; 	3 500 ; 	3 500 ;;;;;;;;;;;;;;;;
5;NEON LED LIPER 10W 60 CM 6500K;U;1; 	4 500 ; 	4 500 ;;;;;;;;;;;;;;;;
6;INTERRUPTEUR D.V.V;U;1; 	2 000 ; 	2 000 ;;;;;;;;;;;;;;;;
7;MEC PRISE 2P+T GRIS CLAIR;U;1; 	1 900 ; 	1 900 ;;;;;;;;;;;;;;;;
8;CADRE 01 POSTE GRIS CLAIR ;U;1; 	1 700 ; 	1 700 ;;;;;;;;;;;;;;;;
9;REGLETTE LED 120CM LIPER;U;1; 	3 800 ; 	3 800 ;;;;;;;;;;;;;;;;
10;DPN LEGRAND 16A A 4,5KA - R 20 MAX;U;1; 	5 800 ; 	5 800 ;;;;;;;;;;;;;;;;
11;DPN LEGRAND 10A A 4,5KA - R 20 MAX;U;1; 	5 800 ; 	5 800 ;;;;;;;;;;;;;;;;
12;DPN LEGRAND 20A A 4,5KA - R 20 MAX;U;1; 	5 800 ; 	5 800 ;;;;;;;;;;;;;;;;
13;PEIGNE ALIMENTAIRE DIAM 13;U;1; 	2 950 ; 	2 950 ;;;;;;;;;;;;;;;;
14;INTER DIFF 2X40A 30 MA;U;1; 	63 025 ; 	63 025 ;;;;;;;;;;;;;;;;
15;BARETTE DE TERRE AP;U;1; 	4 579 ; 	4 579 ;;;;;;;;;;;;;;;;
16;BARETTE DE CONNEXION DE 25;U;1; 	3 000 ; 	3 000 ;;;;;;;;;;;;;;;;
17;BARETTE DE CONNEXION DE 16;U;1; 	3 000 ; 	3 000 ;;;;;;;;;;;;;;;;
18;REGLETTE LED 60 CM LIPER;U;1; 	3 500 ; 	3 500 ;;;;;;;;;;;;;;;;
19;HUBLOT ROND EN PLASTIQUE  E27;U;1; 	4 900 ; 	4 900 ;;;;;;;;;;;;;;;;
20;AMPOULE LED 12W 6500K E27 ASTIA;U;1; 	1 000 ; 	1 000 ;;;;;;;;;;;;;;;;
21;GAINE GRIS PROFESSIONNEL DIAM 25 / 100M ;U;1; 	38 500 ; 	38 500 ;;;;;;;;;;;;;;;;
22;PRISE TV FINALE BLANC ASPHOR;U;1; 	3 500 ; 	3 500 ;;;;;;;;;;;;;;;;
23;TUBE LED 0,6M T8 9W 6500K ASTIA;U;1; 	2 000 ; 	2 000 ;;;;;;;;;;;;;;;;
24;NEON PHILIPS 1,2M T8 36W BLANC 6500K;U;1; 	1 471 ; 	1 471 ;;;;;;;;;;;;;;;;
25;AMPOULE 13W E27 6000K/PIECE;U;1; 	2 500 ; 	2 500 ;;;;;;;;;;;;;;;;
26;INTER SIMPLE AUTO BLANC ASFORA;U;1; 	1 650 ; 	1 650 ;;;;;;;;;;;;;;;;
27;VA ET VIENT AUTO BLANC ASPHORA;U;1; 	1 900 ; 	1 900 ;;;;;;;;;;;;;;;;
28;BOITE D'ENCASTREMENT LAP DIAM 6;U;1; 	75 ; 	75 ;;;;;;;;;;;;;;;;
29;;U;1;; 	- 0;;;;;;;;;;;;;;;;
30;;U;1;;;;;;;;;;;;;;;;;;
31;;U;1;; 	- 0;;;;;;;;;;;;;;;;
TOTAL SERIE 300 : ELECTRICITE;;;;; 	250 250 ;;;;;;;;;;;;;;;;
"
DPPI                                                                                                                                                                     ";;;     SEP;;;INGENIEUR;;;;;;;;;;;;;;;
