;;;;;;;;;;;;;;;;;;;;;
"SERIE 400 : PLOMBERIE
  
";;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
NO ORDRE;DESIGNATION;UNITE;QUANTITE;PRIX UNITAIRE HT;PRIX TOTAL HT;FOURNISSEUR;;;;;;;;;;;;;;;
SERIE 400 : PLOMBERIE;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;EVIER INOX 2 BACS  1200X500X180MM+SIPHON;U;1; 	79 000 ; 	79 000 ;BRICORAMA;;;;;;;;;;;;;;;
2;SIPHON D'EVIER 1 BAC WIRQUIN;U;1; 	13 462 ; 	13 462 ;;;;;;;;;;;;;;;;
3;MELANGEUR DE DOUCHE HERA CHROME;U;1; 	22 500 ; 	22 500 ;;;;;;;;;;;;;;;;
4;DOUCHETTE + FLEXIBLE EAUSET;U;1; 	14 500 ; 	14 500 ;;;;;;;;;;;;;;;;
5;FIXATION MIROIR ORDINAIRE;U;1; 	2 250 ; 	2 250 ;;;;;;;;;;;;;;;;
6;MITIGEUR EVIER ASTRO NOIR;U;1; 	42 500 ; 	42 500 ;;;;;;;;;;;;;;;;
7;TUBE PER BLEU GAINE C100 D.16;U;1; 	121 500 ; 	121 500 ;;;;;;;;;;;;;;;;
;;U;1; 	121 500 ; 	121 500 ;;;;;;;;;;;;;;;;
8;TUBE PER ROUGE GAINE C100 D.16;U;1; 	121 500 ; 	121 500 ;;;;;;;;;;;;;;;;
9;RAC GLISSCOUDE FEMELLE 1/2 16;U;1; 	2 650 ; 	2 650 ;;;;;;;;;;;;;;;;
10;NOURRICE MF 3/4 2 SORTIES + VANNE;U;1; 	14 500 ; 	14 500 ;;;;;;;;;;;;;;;;
11;NOURRICE MF 3/4 3 SORTIES + VANNE;U;1; 	18 850 ; 	18 850 ;;;;;;;;;;;;;;;;
12;NOURRICE MF 3/4 4 SORTIES + VANNE;U;1; 	25 500 ; 	25 500 ;;;;;;;;;;;;;;;;
13;BOUCHON LAITON FEM 3/4 (REF:362003);U;1; 	850 ; 	850 ;;;;;;;;;;;;;;;;
14;BOUCHON LAITON MALE 3/4 (REF:361023);U;1; 	950 ; 	950 ;;;;;;;;;;;;;;;;
15;MAMELON LAITON M-M 1/2 (REF: 313222);U;1; 	700 ; 	700 ;;;;;;;;;;;;;;;;
16;COFFRET COLLECTEUR 40MAX (REF: 200-405);U;1; 	20 000 ; 	20 000 ;;;;;;;;;;;;;;;;
17;TUYAU PVC DIAM 80 PROMO;U;1; 	11 500 ; 	11 500 ;;;;;;;;;;;;;;;;
18;TUYAU PVC DIAM 100 PROMO;U;1; 	12 500 ; 	12 500 ;;;;;;;;;;;;;;;;
19;TE PVC CULOTTE DIAM 80-45° BR 14;U;1; 	1 650 ; 	1 650 ;;;;;;;;;;;;;;;;
;;U;1;; 	- 0;;;;;;;;;;;;;;;;
20;TE PVC CULOTTE DIAM 100-45°//R;U;1; 	3 850 ; 	3 850 ;;;;;;;;;;;;;;;;
21;COUDE PVC DIAM 40-45° REF: CH4;U;1; 	300 ; 	300 ;;;;;;;;;;;;;;;;
22;COUDE PVC DIAM 80-45° (ADEQUA) REF: CR4;U;1; 	1 000 ; 	1 000 ;;;;;;;;;;;;;;;;
23;COUDE PVC DIAM 100-45° // REFF: CT4;U;1; 	1 650 ; 	1 650 ;;;;;;;;;;;;;;;;
24;"COUDE PVC DIAM 40-87°30"" REF: CH8";U;1; 	550 ; 	550 ;;;;;;;;;;;;;;;;
25;"COUDE PVC DIAM 100-87°30"" REF CT8";U;1; 	1 650 ; 	1 650 ;;;;;;;;;;;;;;;;
26;BOITE CHEVILLE LAP EN PLAST DIAM 8 -R 15 MAX;U;1; 	1 500 ; 	1 500 ;;;;;;;;;;;;;;;;
27;GEBSOPLAST COLLE GEL PLUS PRESSION 1L;U;1; 	14 500 ; 	14 500 ;;;;;;;;;;;;;;;;
28;JOINT FIBRE 1/2- (15-21) SACHET (25 PIECES);U;1; 	600 ; 	600 ;;;;;;;;;;;;;;;;
29;ROBINET EQUERRE PIONER CHROME 3/8( REF.621311);U;1; 	5 500 ; 	5 500 ;;;;;;;;;;;;;;;;
30;MAMELON LAITON REDUIT M 3/8 - F1/2 (REF: 353122);U;1; 	800 ; 	800 ;;;;;;;;;;;;;;;;
31;TE A CARTON 3/4;U;1; 	2 000 ; 	2 000 ;;;;;;;;;;;;;;;;
32;REDUCTEUR 3/4 - 1/2;U;1; 	1 000 ; 	1 000 ;;;;;;;;;;;;;;;;
33;MAMELONS 1/2 M/M;U;1; 	1 000 ; 	1 000 ;;;;;;;;;;;;;;;;
34;REDUCTEUR 3/4 - 1/2 M/M;U;1; 	1 000 ; 	1 000 ;;;;;;;;;;;;;;;;
35;COUDES DE DIAM 40;U;1; 	1 000 ; 	1 000 ;;;;;;;;;;;;;;;;
36;REDUCTION 80/40;U;1; 	2 000 ; 	2 000 ;;;;;;;;;;;;;;;;
;;U;1;; 	- 0;;;;;;;;;;;;;;;;
37;TE DE DIAM 80;U;1; 	3 000 ; 	3 000 ;;;;;;;;;;;;;;;;
38;COMBIFLEX 3JET 110 CHR 3J CAV;U;1; 	17 500 ; 	17 500 ;;;;;;;;;;;;;;;;
39;MITIGEUR DE LAVABO PAINI 3/8;U;1; 	22 500 ; 	22 500 ;;;;;;;;;;;;;;;;
;MITIGEUR DE BAIGNOIRE PAINI + FLEX (2AIS);U;1; 	59 500 ; 	59 500 ;;;;;;;;;;;;;;;;
40;COUDE PVC DIAM 32-87°30' REF;U;1; 	350 ; 	350 ;;;;;;;;;;;;;;;;
41;REDUCTION EXCENTREE 40/80 (ADEQUA);U;1; 	2 800 ; 	2 800 ;;;;;;;;;;;;;;;;
;REDUCTION EXCENTREE 40/32 (ADEQUA);U;1; 	850 ; 	850 ;;;;;;;;;;;;;;;;
;SIPHON D'EVIER 2 BACS;U;1; 	8 000 ; 	8 000 ;;;;;;;;;;;;;;;;
;MITIGEUR LAVABO TUCAN  CHROME;U;1; 	41 597 ; 	41 597 ;;;;;;;;;;;;;;;;
;MITIGEUR DE DOUCHE ARTEMIS CHROME;U;1; 	24 790 ; 	24 790 ;;;;;;;;;;;;;;;;
42;;U;1;; 	- 0;;;;;;;;;;;;;;;;
43;;U;1;; 	- 0;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
44;;U;1;; 	- 0;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
45;;U;1;; 	- 0;;;;;;;;;;;;;;;;
46;;U;1;; 	- 0;;;;;;;;;;;;;;;;
TOTAL SERIE 400: PLOMBERIE;;;;; 	869 149 ;;;;;;;;;;;;;;;;
