"COMMANDE DES MATERIAUX DU LOGEMENT 375 DU TYPE OGOOUE A BIKELE
  
";;;;;;;;;;;;;;;;;;;;;
"SERIE 400 : PLOMBERIE
  
";;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
NO ORDRE;DESIGNATION;UNITE;QUANTITE;PRIX UNITAIRE HT;PRIX TOTAL HT;FOURNISSEUR;;;;;;;;;;;;;;;
SERIE 400 : PLOMBERIE;;;;;;;;;;;;;;;;;;;;;
;Implantation;;;;;;;;;;;;;;;;;;;;
1;Tuyau PVC 100 standard (6ml);u;3; 	17 016 ; 	51 048 ;BRICORAMA;;;;;;;;;;;;;;;
2;Coude PVC 100 standard ;u;5; 	672 ; 	3 361 ;;;;;;;;;;;;;;;;
3;Coude PVC 80 standard ;u;5; 	773 ; 	3 866 ;;;;;;;;;;;;;;;;
4;Tuyau PVC 80 standard (6ml);u;4; 	8 697 ; 	34 790 ;;;;;;;;;;;;;;;;
5;Colle PVC;Kg;1; 	9 076 ; 	9 076 ;;;;;;;;;;;;;;;;
6;Tuyau PVC 32 standard (6ml);u;2; 	6 429 ; 	12 857 ;;;;;;;;;;;;;;;;
7;Coudes PVC 32 standard;u;3; 	168 ; 	504 ;;;;;;;;;;;;;;;;
;Alimentation;;;;;;;;;;;;;;;;;;;;
8;Coude Ré Tube de 16 ;u;18; 	2 100 ; 	37 800 ;;;;;;;;;;;;;;;;
9;Ré tube Gaine Bleu;Rlx;1; 	43 361 ; 	43 361 ;;;;;;;;;;;;;;;;
10;Ré tube Gainé Rouge;Rlx;1; 	43 361 ; 	43 361 ;;;;;;;;;;;;;;;;
11;Coffret à Nourrice de 40;u;3; 	13 445 ; 	40 336 ;;;;;;;;;;;;;;;;
12;Nourrice 6 sorties;u;1;; 	- 0;;;;;;;;;;;;;;;;
13;Nourrice 4 sorties;u;3; 	12 437 ; 	37 311 ;;;;;;;;;;;;;;;;
14;Nourrice 3 sorties;u;2; 	11 092 ; 	22 185 ;;;;;;;;;;;;;;;;
15;Nourrice 2 sorties;u;3; 	6 387 ; 	19 160 ;;;;;;;;;;;;;;;;
16;Ecrou Ré tube 1/2 16;u;20; 	1 109 ; 	22 185 ;;;;;;;;;;;;;;;;
17;Joint Fibre 1/2;Sachet;1; 	874 ; 	874 ;;;;;;;;;;;;;;;;
18;Bouchon Male 3/4;u;6; 	571 ; 	3 429 ;;;;;;;;;;;;;;;;
19;Bouchon Femelle 3/4;u;6; 	571 ; 	3 429 ;;;;;;;;;;;;;;;;
;Appareilage;;;;;;;;;;;;;;;;;;;;
20;Flexible 1/2 3/8 MF 60cm;u;3; 	2 790 ; 	8 370 ;;;;;;;;;;;;;;;;
21;Flexible 1/2 1/2 MF 60cm;u;10; 	2 655 ; 	26 555 ;;;;;;;;;;;;;;;;
22;Fixation Chauffe eau;Paire;1; 	1 681 ; 	1 681 ;;;;;;;;;;;;;;;;
23;Fixation WC;Paire;3; 	1 008 ; 	3 025 ;;;;;;;;;;;;;;;;
24;Fixation Lavabo;Paire;3; 	1 210 ; 	3 630 ;;;;;;;;;;;;;;;;
25;Robinet Equerre;u;2; 	3 025 ; 	6 050 ;;;;;;;;;;;;;;;;
26;Mitigeur douche;u;2; 	29 916 ; 	59 832 ;;;;;;;;;;;;;;;;
27;Mitigeur Lavabo;u;2; 	21 849 ; 	43 698 ;;;;;;;;;;;;;;;;
28;Mitigeur Evier;u;1; 	29 916 ; 	29 916 ;;;;;;;;;;;;;;;;
29;Coude 40;u;6; 	600 ; 	3 600 ;;;;;;;;;;;;;;;;
30;Réducteur 80/40;u;2; 	3 328 ; 	6 655 ;;;;;;;;;;;;;;;;
31;Abattant;u;2; 	6 387 ; 	12 773 ;;;;;;;;;;;;;;;;
32;Méchanisme WC;u;2; 	11 765 ; 	23 529 ;;;;;;;;;;;;;;;;
33;Siphon  de lavabo complet;u;2; 	3 025 ; 	6 050 ;;;;;;;;;;;;;;;;
34;Siphon  de sol;u;2; 	1 681 ; 	3 361 ;;;;;;;;;;;;;;;;
35;Siphon de Lavabo;u;1;; 	- 0;;;;;;;;;;;;;;;;
36;Evier double back ( INOX);;1; 	73 277 ; 	73 277 ;;;;;;;;;;;;;;;;
;Evacuation;;;;;;;;;;;;;;;;;;;;
37;Tuyau PVC 100 standard longeur (6m);u;8; 	5 533 ; 	44 264 ;;;;;;;;;;;;;;;;
38;Coude PVC 100 standard (6ml);u;8; 	1 429 ; 	11 432 ;;;;;;;;;;;;;;;;
39;Lubrifiant pour union;kg;1; 	12 000 ; 	12 000 ;;;;;;;;;;;;;;;;
40;Alimentation du compteur d'eau jusqu'au logement ;ens;1; 	75 000 ; 	75 000 ;;;;;;;;;;;;;;;;
41;Miroir;u;2; 	5 042 ; 	10 084 ;;;;;;;;;;;;;;;;
42;Porte savon;u;2; 	4 286 ; 	8 572 ;;;;;;;;;;;;;;;;
43;Porte serviette;u;2; 	5 714 ; 	11 429 ;;;;;;;;;;;;;;;;
44;Porte papier hygienique;u;2; 	5 000 ; 	10 000 ;;;;;;;;;;;;;;;;
45;Chauffe Eau 80L + groupe de sécurité;u;1; 	89 286 ; 	89 286 ;;;;;;;;;;;;;;;;
46;Transport;ff;1;100 000; 	100 000 ;;;;;;;;;;;;;;;;
TOTAL SERIE 400: PLOMBERIE;;;;; 	1 073 002 ;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;DPPI;SEP;;;INGENIEUR;;;;;;;;;;;;;;;;
