;;;;;;;;;;;;;;;;;;;;;
"
  
";;;;;;;;;;;;;;;;;;;;;
"
SERIE 500 : REVETEMENT SOL ET MURS
  
";;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
No ORDRE;DESIGNATION;UNITE;QUANTITE;PRIX UNITAIRE HT;PRIX TOTAL HT;FOURNISSEUR;;;;;;;;;;;;;;;
SERIE 500 : REVETEMENT SOL ET MURS;;;;;;;;;;;;;;;;;;;;;
1;Ciment CPJ 45;Sacs; 	1 ; 	4 500 ; 	4 500 ;SYLLA BIKELE;;;;;;;;;;;;;;;
2;Ciment colle 20 kg;Sacs; 	1 ; 	5 000 ; 	5 000 ;SYLLA BIKELE;;;;;;;;;;;;;;;
3;Fermeture joints de faîence 46;Sacs de 5 KG; 	1 ; 	5 000 ; 	5 000 ;SYLLA BIKELE;;;;;;;;;;;;;;;
4;Sable Gros grain;Godet (5T); 	1 ; 	32 000 ; 	32 000 ;SARE TRANSPORT (hormis transport);;;;;;;;;;;;;;;
TOTAL SERIE 500 : REVETEMENT SOL ET MURS;;;;; 	46 500 ;;;;;;;;;;;;;;;;
